event_id,event_type,source_user_id,target_user_id,created_at,content,interaction_velocity_5m,account_age_days,historical_report_rate,is_duplicate,historical_feedback_risk,label_risky_event,notification_text
evt-097,comment,u149,u277,2026-06-01 13:18:29.000,Buen dato,2,602,0.06,0,0,0,u149 comento tu publicacion
evt-096,comment,u142,u266,2026-06-01 13:15:12.000,Gran publicacion,34,565,0.2,0,0,0,u142 comento tu publicacion
evt-095,comment,u135,u255,2026-06-01 13:11:55.000,Muy util,21,528,0.03,0,0,0,u135 comento tu publicacion
evt-094,comment,u128,u244,2026-06-01 13:08:38.000,Excelente aporte,8,491,0.17,0,0,0,u128 comento tu publicacion
evt-093,comment,u121,u233,2026-06-01 13:05:21.000,Me interesa,40,454,0,0,1,0,u121 comento tu publicacion
evt-092,comment,u114,u222,2026-06-01 13:02:04.000,Gracias por compartir,27,417,0.14,0,0,0,u114 comento tu publicacion
evt-091,comment,u107,u211,2026-06-01 12:58:47.000,Buen dato,14,380,0.28,0,1,1,u107 comento tu publicacion
evt-090,comment,u100,u200,2026-06-01 12:55:30.000,Gran publicacion,1,343,0.11,0,0,0,u100 comento tu publicacion
evt-089,comment,u183,u279,2026-06-01 12:52:13.000,Muy util,33,306,0.25,0,1,1,u183 comento tu publicacion
evt-088,comment,u176,u268,2026-06-01 12:48:56.000,Excelente aporte,20,269,0.08,0,0,0,u176 comento tu publicacion
evt-087,comment,u169,u257,2026-06-01 12:45:39.000,Me interesa,7,232,0.22,0,1,1,u169 comento tu publicacion
evt-086,comment,u162,u246,2026-06-01 12:42:22.000,Gracias por compartir,39,195,0.05,0,1,1,u162 comento tu publicacion
evt-085,comment,u155,u235,2026-06-01 12:39:05.000,Buen dato,26,158,0.19,0,0,0,u155 comento tu publicacion
evt-084,comment,u148,u224,2026-06-01 12:35:48.000,Gran publicacion,13,121,0.02,0,0,0,u148 comento tu publicacion
evt-083,comment,u141,u213,2026-06-01 12:32:31.000,Muy util,45,84,0.16,0,1,1,u141 comento tu publicacion
evt-082,comment,u134,u202,2026-06-01 12:29:14.000,Excelente aporte,32,47,0.3,0,1,1,u134 comento tu publicacion
evt-081,comment,u127,u281,2026-06-01 12:25:57.000,Me interesa,19,10,0.13,0,1,1,u127 comento tu publicacion
evt-080,comment,u120,u270,2026-06-01 12:22:40.000,Gracias por compartir,6,1469,0.27,0,1,1,u120 comento tu publicacion
evt-079,comment,u113,u259,2026-06-01 12:19:23.000,Buen dato,38,1432,0.1,0,1,1,u113 comento tu publicacion
evt-078,comment,u106,u248,2026-06-01 12:16:06.000,Gran publicacion,25,1395,0.24,0,1,1,u106 comento tu publicacion
evt-077,comment,u189,u237,2026-06-01 12:12:49.000,Muy util,12,1358,0.07,0,0,0,u189 comento tu publicacion
evt-076,comment,u182,u226,2026-06-01 12:09:32.000,Excelente aporte,44,1321,0.21,0,1,1,u182 comento tu publicacion
evt-075,comment,u175,u215,2026-06-01 12:06:15.000,Me interesa,31,1284,0.04,0,0,0,u175 comento tu publicacion
evt-074,comment,u168,u204,2026-06-01 12:02:58.000,Gracias por compartir,18,1247,0.18,0,0,1,u168 comento tu publicacion
evt-073,comment,u161,u283,2026-06-01 11:59:41.000,Buen dato,5,1210,0.01,0,0,0,u161 comento tu publicacion
evt-072,comment,u154,u272,2026-06-01 11:56:24.000,Gran publicacion,37,1173,0.15,0,1,1,u154 comento tu publicacion
evt-071,comment,u147,u261,2026-06-01 11:53:07.000,Muy util,24,1136,0.29,0,1,1,u147 comento tu publicacion
